playerId,name,team,position,Overall_Talent_Rating,Offensive_Rate,xGD_OnIce_Per_100,I_F_takeaways_per60,games_played,icetime
8478882,Vladislav Gavrikov,LAK,D,64.68,0.21,-2.40,0.70,410,227172.00
8477015,Connor Brown,EDM,R,64.55,0.54,1.00,1.36,410,137856.00
8483429,Seamus Casey,NJD,D,64.53,1.08,-8.60,0.68,70,21240.00
8477220,Nate Schmidt,FLA,D,64.52,0.30,4.60,1.27,400,158684.00
8478970,Jalen Chatfield,CAR,D,64.52,0.23,6.60,1.05,395,178962.00
8473986,Alex Killorn,ANA,L,64.42,0.67,-3.80,0.47,410,169996.00
8478233,Andrew Mangiapane,WSH,L,64.38,0.68,-1.80,0.63,405,126616.00
8475184,Chris Kreider,NYR,L,64.38,0.76,1.60,0.47,340,136714.00
8482092,Ridly Greig,OTT,C,64.37,0.60,-0.40,0.90,390,159868.00
8484304,Uvis Balinskis,FLA,D,64.37,0.28,-2.20,1.22,380,135456.00
8475745,Charlie Coyle,COL,C,64.30,0.60,-3.00,1.79,415,169214.00
8479999,Casey Mittelstadt,BOS,C,64.30,0.67,-4.80,0.82,405,165860.00
8476902,Esa Lindell,DAL,D,64.22,0.26,2.00,1.01,400,212934.00
8481725,Elmer Soderblom,DET,L,64.21,0.62,1.60,0.86,130,41716.00
8478874,Adam Gaudette,OTT,R,64.11,0.92,0.00,0.57,405,101306.00
8477511,Anthony Mantha,CGY,R,64.04,1.06,31.40,1.00,65,21688.00
8474151,Ryan McDonagh,TBL,D,64.00,0.26,5.60,0.86,410,200444.00
